id,region,dialect_text,target_text,prediction,sentence_bleu,sentence_chrf,bertscore_f1,sts_cosine_similarity,quality_band
0026,Barishal,আম্মের কি বই হড়ার অভ্যাস আছে?,আপনার কি বই পড়ার অভ্যাস আছে ?,আপনার কি বই পড়ার অভ্যাস আছে?,100.00000000000004,100.0,1.0000002,0.99916506,Near match (chrF >= 80)
0669,Barishal,তোমার প্রিয় গান কোনডা?,তোমার প্রিয় গান কোনটি ?,তোমার প্রিয় গান কোনটি?,100.00000000000004,100.0,0.9999999,0.9998477,Near match (chrF >= 80)
0999,Barishal,মোর তো এউক্কা হাত খরচা লাগে হেও হে দেয় না,আমার তো একটা হাত খরচ লাগে তাও সে দেয়না,আমার তো একটা হাত খরচ লাগে তাও সে দেয় না,75.98356856515926,100.0,0.978111,0.9043508,Near match (chrF >= 80)
0892,Chittagong,আঁই ৪ মাস আগে ফরিবারের পছন্দত বিয়ে গইজ্জি,আমি ৪ মাস আগে পরিবারের পছন্দে বিয়ে করেছি,আমি ৪ মাস আগে পরিবারের পছন্দে বিয়ে করেছিলাম,84.08964152537145,98.1258964608202,0.96959335,0.99796736,Near match (chrF >= 80)
0618,Chittagong,ফেইসবুক হইলদি জনপ্রিয় যোগাযোগ মাধ্যম,ফেসবুক একটি জনপ্রিয় যোগাযোগ মাধ্যম,ফেইসবুক একটি জনপ্রিয় যোগাযোগ মাধ্যম,66.87403049764218,93.92750101819432,0.952317,0.89013886,Near match (chrF >= 80)
0555,Chittagong,তোঁয়ার গম ন লাগিলে কিছু গরিবার নাই,তোমার ভালো না লাগলে কিছু করার নাই,তোমার ভালো না লাগলে কিছু করার নেই,80.91067115702207,92.41401566763886,0.96140647,0.97922665,Near match (chrF >= 80)
0669,Jashore,তোমার প্রিয় গান কোনডা?,তোমার প্রিয় গান কোনটি ?,তোমার প্রিয় গান কোনটি?,100.00000000000004,100.0,0.9999999,0.99984777,Near match (chrF >= 80)
1447,Jashore,আমি দ্বিতীয়বার ভালোবাইসাও ঠকছি,আমি দ্বিতীয় বার ভালোবেসেও ঠকে গেছি,আমি দ্বিতীয়বার ভালোবেসেও ঠকে গেছি,34.98330125272251,100.0,0.9701995,0.98968446,Near match (chrF >= 80)
1460,Jashore,"বিয়ার সময় কইছিলো পোলা শিক্ষিত, ঢাকায় চাকরি করে","বিয়ের সময় বলছিলো ছেলে শিক্ষিত,ঢাকায় চাকরি করে","বিয়ের সময় বলছিলো ছেলে শিক্ষিত, ঢাকায় চাকরি করে",100.00000000000004,100.0,1.0000001,0.7796333,Near match (chrF >= 80)
0026,Mymensingh,আইন্নের কি বই হড়নের অভ্যস আছে?,আপনার কি বই পড়ার অভ্যাস আছে ?,আপনার কি বই পড়ার অভ্যাস আছে?,100.00000000000004,100.0,1.0000002,0.99916506,Near match (chrF >= 80)
0158,Mymensingh,সব কতা মুখে কইয়া দেওয়া যায় না,সব কথা মুখে বলে দেওয়া যায়না,সব কথা মুখে বলে দেওয়া যায় না,61.47881529512643,100.0,0.96954274,0.96464354,Near match (chrF >= 80)
0669,Mymensingh,তোমার সবচেয়ে পন্দের গান কোনটা?,তোমার প্রিয় গান কোনটি ?,তোমার প্রিয় গান কোনটি?,100.00000000000004,100.0,0.9999999,0.9998477,Near match (chrF >= 80)
0026,Noakhali,আন্নের কি বই হড়ার অভ্যাস আছে নিই?,আপনার কি বই পড়ার অভ্যাস আছে ?,আপনার কি বই পড়ার অভ্যাস আছে?,100.00000000000004,100.0,1.0000002,0.99916506,Near match (chrF >= 80)
0158,Noakhali,সব কথা মুখে কওইয়া দেন যায় না,সব কথা মুখে বলে দেওয়া যায়না,সব কথা মুখে বলে দেওয়া যায় না,61.47881529512643,100.0,0.96954274,0.96464354,Near match (chrF >= 80)
1473,Noakhali,হে তো বুঝব না,সে তো বুঝবেনা,সে তো বুঝবে না,31.947155212313625,100.0,0.96676177,0.8796319,Near match (chrF >= 80)
0026,Pabna,আপনের কি বই পড়ার অব্ব্যাস আছে,আপনার কি বই পড়ার অভ্যাস আছে ?,আপনার কি বই পড়ার অভ্যাস আছে?,100.00000000000004,100.0,1.0000002,0.99916506,Near match (chrF >= 80)
0388,Pabna,"কিছু মনে হরবেন না, আপনেক একটা কতা কবো?","কিছু মনে করবেন না, আপনাকে একটা কথা বলব ?","কিছু মনে করবেন না, আপনাকে একটা কথা বলব?",100.00000000000004,100.0,1.0000001,0.9989982,Near match (chrF >= 80)
0669,Pabna,তুমার পিয়ো গান কোনডি?,তোমার প্রিয় গান কোনটি ?,তোমার প্রিয় গান কোনটি?,100.00000000000004,100.0,0.9999999,0.99984777,Near match (chrF >= 80)
0158,Rangpur,সব কতা মুখে কয়ে দেওয়া যায় না।,সব কথা মুখে বলে দেওয়া যায়না,সব কথা মুখে বলে দেওয়া যায় না,61.47881529512643,100.0,0.96954274,0.96464354,Near match (chrF >= 80)
0669,Rangpur,তোর প্রিয় গান কোনখান?,তোমার প্রিয় গান কোনটি ?,তোমার প্রিয় গান কোনটি?,100.00000000000004,100.0,0.9999999,0.9998477,Near match (chrF >= 80)
0999,Rangpur,মোর তো একটা হাত খরচ নাগে তাও ওমরা দেয় না,আমার তো একটা হাত খরচ লাগে তাও সে দেয়না,আমার তো একটা হাত খরচ লাগে তাও সে দেয় না,75.98356856515926,100.0,0.978111,0.9043508,Near match (chrF >= 80)
