id,region,dialect_text,target_text,prediction,sentence_bleu,sentence_chrf,bertscore_f1,sts_cosine_similarity,quality_band
0044,Pabna,সে ইস্কুলে যাবির চায় না,সে বিদ্যালয়ে যেতে চায় না,সে বিদ্যালয়ে যেতে চায় না,100.00000000000004,100.0,0.99999976,1.0000001,Exact match
0049,Pabna,সে ম্যালা দিন আগে তার ইস্কুলের একটা ছেড়িক বালোবাসতো,সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,100.00000000000004,100.0,1.0,1.0000001,Exact match
0052,Pabna,ডাকা বাংলাদেশের রাজদানি,ঢাকা বাংলাদেশের রাজধানী,ঢাকা বাংলাদেশের রাজধানী,100.00000000000004,100.0,0.9999999,0.99999976,Exact match
0044,Noakhali,হেতে স্কুলে যাইতো চা না,সে বিদ্যালয়ে যেতে চায় না,সে বিদ্যালয়ে যেতে চায় না,100.00000000000004,100.0,0.99999976,1.0000001,Exact match
0052,Noakhali,ঢাকা বাংলাদেশর রাজধানী,ঢাকা বাংলাদেশের রাজধানী,ঢাকা বাংলাদেশের রাজধানী,100.00000000000004,100.0,0.9999999,0.99999976,Exact match
0322,Noakhali,আন্নে কী আন্নের হাত ধুইতে জানেন,আপনি কি আপনার হাত ধুতে জানেন?,আপনি কি আপনার হাত ধুতে জানেন?,100.00000000000004,100.0,1.0,1.0,Exact match
0026,Jashore,আপনার কি বই পড়ার অভ্যাস আছে ?,আপনার কি বই পড়ার অভ্যাস আছে ?,আপনার কি বই পড়ার অভ্যাস আছে ?,100.00000000000004,100.0,1.0000001,1.0000002,Exact match
0044,Jashore,সে বিদ্যালয়ে যেতে চায় না,সে বিদ্যালয়ে যেতে চায় না,সে বিদ্যালয়ে যেতে চায় না,100.00000000000004,100.0,0.99999976,1.0,Exact match
0049,Jashore,সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,100.00000000000004,100.0,1.0,1.0000001,Exact match
0044,Rangpur,সে স্কুলে জাবার চায় না,সে বিদ্যালয়ে যেতে চায় না,সে বিদ্যালয়ে যেতে চায় না,100.00000000000004,100.0,0.99999976,1.0,Exact match
0045,Rangpur,তার স্কুল যায়া পড়ালেখা করতে ভাল নাগে না,তার বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না,তার বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না,100.00000000000004,100.0,1.0,1.0000001,Exact match
0052,Rangpur,ঢাকা বাংলাদেশের রাজধানী,ঢাকা বাংলাদেশের রাজধানী,ঢাকা বাংলাদেশের রাজধানী,100.00000000000004,100.0,0.9999999,0.9999999,Exact match
0044,Mymensingh,হে ইস্কুলে যাইতে চায় না,সে বিদ্যালয়ে যেতে চায় না,সে বিদ্যালয়ে যেতে চায় না,100.00000000000004,100.0,0.99999976,1.0000001,Exact match
0049,Mymensingh,হে মেলাদিন আগে হের ইস্কুলের একটা মাইয়ারে বালাবাসত,সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,100.00000000000004,100.0,1.0,1.0000001,Exact match
0052,Mymensingh,ঢাহা বাংলাদেশর রাজধানী,ঢাকা বাংলাদেশের রাজধানী,ঢাকা বাংলাদেশের রাজধানী,100.00000000000004,100.0,0.9999999,0.99999976,Exact match
0049,Barishal,হে বেমালা দিন আগে হের স্কুলের এউক্কা মাইয়ারে ভালোপাইতো,সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,100.00000000000004,100.0,1.0,1.0000001,Exact match
0052,Barishal,ঢাহা বাংলাদেশের রাজধানী,ঢাকা বাংলাদেশের রাজধানী,ঢাকা বাংলাদেশের রাজধানী,100.00000000000004,100.0,0.9999999,0.99999976,Exact match
0322,Barishal,আম্মে কী আম্মের হাত ধুইতে জানেন,আপনি কি আপনার হাত ধুতে জানেন?,আপনি কি আপনার হাত ধুতে জানেন?,100.00000000000004,100.0,1.0,1.0,Exact match
0044,Chittagong,ইতে স্কুলত যাইত নচার,সে বিদ্যালয়ে যেতে চায় না,সে বিদ্যালয়ে যেতে চায় না,100.00000000000004,100.0,0.99999976,1.0000001,Exact match
0451,Chittagong,ফুটবল আঁর ফিও খেলা,ফুটবল আমার প্রিয় খেলা,ফুটবল আমার প্রিয় খেলা,100.00000000000004,100.0,1.0000001,1.0,Exact match
0472,Chittagong,ব্রাজিল দল ইবে বিশ্বকাপত চ্যাম্পিয়ন,ব্রাজিল ফুটবল দল বিশ্বকাপ চ্যাম্পিয়ন,ব্রাজিল ফুটবল দল বিশ্বকাপ চ্যাম্পিয়ন,100.00000000000004,100.0,1.0000001,1.0000001,Exact match
