id,region,dialect_text,source_text,target_text
1121,Noakhali,আমাগো হরিবার থেইকা হেগো হরিবার মেলা বড়লোক,translate Noakhali to Bangla: আমাগো হরিবার থেইকা হেগো হরিবার মেলা বড়লোক,আমাদের ফ্যামিলি থেকে ওদের ফ্যামিলি অনেক বড়লোক
1420,Noakhali,আর মত মেলা ভুল করে কেউ করে না মনে অয়,translate Noakhali to Bangla: আর মত মেলা ভুল করে কেউ করে না মনে অয়,আমার মতো এতো ভুল মনে হয় কেউ করে না
0286,Mymensingh,আজকে প্রায় আট দিন ধইরা পানি নাই,translate Mymensingh to Bangla: আজকে প্রায় আট দিন ধইরা পানি নাই,আজকে প্রায় ৮ দিন পানি নেই
2324,Noakhali,অনেকে আবার কয় বিয়া করলে মানুষ গাধা অয়,translate Noakhali to Bangla: অনেকে আবার কয় বিয়া করলে মানুষ গাধা অয়,অনেকে আরো বলে যে বিয়ে করলে মানুষ নাকি গাধা হয়
0053,Mymensingh,তুমি কি আমার লগে পিড়িত করবা?,translate Mymensingh to Bangla: তুমি কি আমার লগে পিড়িত করবা?,তুমি কি আমার সাথে প্রেম করবা?
2076,Rangpur,তোর বয়স কত?,translate Rangpur to Bangla: তোর বয়স কত?,তোমার বয়স কত?
0755,Mymensingh,কিন্তু কিছু মানুষ বহুত বালা,translate Mymensingh to Bangla: কিন্তু কিছু মানুষ বহুত বালা,কিন্তু কিছু মানুষ অনেক ভালো
1635,Rangpur,চোখের আড়াল হইয়া গেইছে,translate Rangpur to Bangla: চোখের আড়াল হইয়া গেইছে,চোখের আড়াল হয়ে গেছে
0214,Barishal,এই ছিবিডা দেখলেই বুজা যায় মোগ দেশের লাইগ্গা কত্থা কষ্ট করছে মুক্তিযোদ্ধারা,translate Barishal to Bangla: এই ছিবিডা দেখলেই বুজা যায় মোগ দেশের লাইগ্গা কত্থা কষ্ট করছে মুক্তিযোদ্ধারা,এই ছবিটা দেখলে বোঝা যায় আমাদের দেশের জন্য কতো কষ্ট করেছে মুক্তিযোদ্ধা ভাইয়েরা
1918,Jashore,আমাকে পরিক্ষার আগে সব কিছু নিয়ে পড়ালিখা করতি হবে,translate Jashore to Bangla: আমাকে পরিক্ষার আগে সব কিছু নিয়ে পড়ালিখা করতি হবে,আমাকে পরিক্ষার আগে সব কিছু নিয়ে পড়ালেখা করতে হবে
