id,region,dialect_text,target_text,prediction,sentence_bleu,sentence_chrf,bertscore_f1,sts_cosine_similarity,quality_band
0510,Barishal,হেই সময় পাশদিয়া এউক্কা হিয়াল গেছেলে,সেই সময় পাশ দিয়ে এক শিয়াল যাচ্ছিল,তখন পাশে একটি পুকুর ছিল,0.0,11.664865631711793,0.80233496,0.833551,Difficult (chrF < 50)
0813,Barishal,বেমালা ক্যাচাল লাইগ্গা যাইতে,বিশাল ক্যাচাল লেগে যেতো,অনেক ঝগড়ার জন্য যেতে হবে,0.0,12.595830378266527,0.71294904,0.6580678,Difficult (chrF < 50)
1134,Barishal,ওর আর মোর স্কুলের দোস্তরা হগল কিছু জানত,ওর আর আমার স্কুল ফ্রেন্ডরা সব জানত,তার এবং আমার বিদ্যালয়ের বন্ধুরা সব কিছু জানত,7.267884212102741,22.83750428848182,0.7108735,0.95259964,Difficult (chrF < 50)
0068,Barishal,বেমালা ভালো ছবি,অসম্ভব ভাল ছবি,খুব ভালো ছবি,27.516060407455225,25.066966792385077,0.8368076,0.834404,Difficult (chrF < 50)
1455,Barishal,মোর আস্ট মাসের এউক্কা পোলা আছে,আমার ৮ মাসের একটা ছেলে বাবু আছে,আমার আট বছরের একটি ছেলে আছে,9.042266054940777,30.043884616488164,0.8599081,0.8735885,Difficult (chrF < 50)
0068,Chittagong,বেশি সুন্দর অইয়ে ছবি,অসম্ভব ভাল ছবি,খুব সুন্দর একটি ছবি,15.97357760615681,12.181232258364744,0.7950838,0.777,Difficult (chrF < 50)
0510,Chittagong,হতক্ষন আগোদি আঁর ডাগোদি উজ্ঞো ইয়েল গিয়ি,সেই সময় পাশ দিয়ে এক শিয়াল যাচ্ছিল,অনেকদিন আগে আমার বাসায় একটা ছেলে ছিল,0.0,12.82679710678371,0.7562506,0.5175282,Difficult (chrF < 50)
0813,Chittagong,বউত বড় ঝামেলা অই যাইতু,বিশাল ক্যাচাল লেগে যেতো,অনেক বড় ঝামেলা হয়ে যেত,0.0,14.630489622749687,0.7594074,0.8439903,Difficult (chrF < 50)
0566,Chittagong,দুয়োরর ডাগোদি দুইজ্জণ বইয়েরর গিটার বাজার।,দরজার কাছে দুইজন বসে গিটার বাজাচ্ছে,গ্রামের চারদিকে দুইটি বইয়ের দোকান,0.0,16.347990026150942,0.7193082,0.31276017,Difficult (chrF < 50)
0219,Chittagong,গানন্নান ফুনি আঁর চুঘত ফানি চলি আঁইস্সে হাছা বেশি ভালা লাইগ্গে,গানটা শুনে চোখে পানি চলে আসলো সত্যি খুব ভালো লাগলো,গানটি শুনে আমার অনেক ভালো লেগেছে,4.955725306405571,19.70701060204692,0.77477497,0.82865846,Difficult (chrF < 50)
